Date,Front_Contract,Front_Close,Front_High,Front_Low,Front_Open,Front_Volume,Front_OI,FV1_Contract,FV1_Close,FV1_High,FV1_Low,FV1_Open,FV1_Volume,FV1_OI
10/20/2017,FVZ17,117.09375,117.4140625,117.0625,117.375,827017,2980932,FVH18,116.859375,117.02864583333333,116.859375,117.02864583333333,912,6110
10/23/2017,FVZ17,117.1796875,117.21875,117.046875,117.078125,467365,2992812,FVH18,116.9453125,116.9453125,116.89322916666667,116.89322916666667,380,6369
10/24/2017,FVZ17,117.09375,117.2265625,116.984375,117.203125,653673,3021320,FVH18,116.859375,116.859375,116.7578125,116.7578125,316,6453
10/25/2017,FVZ17,116.9609375,117.0625,116.828125,117.015625,1016898,3064433,FVH18,116.7109375,116.78125,116.625,116.7265625,849,6794
10/26/2017,FVZ17,116.8984375,117.1171875,116.84375,117.015625,864453,3106268,FVH18,116.6484375,116.8125,116.6171875,116.7421875,19985,15997
10/27/2017,FVZ17,117.03125,117.1015625,116.7890625,116.8515625,926519,3081117,FVH18,116.78125,116.78125,116.5546875,116.6171875,16323,22481
10/30/2017,FVZ17,117.2578125,117.2734375,117.0859375,117.09375,668458,3064630,FVH18,117.0234375,117.0234375,116.875,116.875,6457,23993
10/31/2017,FVZ17,117.1875,117.3046875,117.140625,117.25,699074,3034429,FVH18,116.9609375,116.9921875,116.9609375,116.9921875,9266,30187
11/01/2017,FVZ17,117.125,117.2578125,117.0546875,117.1484375,762932,3078271,FVH18,116.890625,117.0,116.828125,116.8984375,11933,37822
11/02/2017,FVZ17,117.2265625,117.3203125,117.125,117.171875,720095,3095918,FVH18,117.0078125,117.078125,116.8984375,116.9140625,3812,37924
11/03/2017,FVZ17,117.1953125,117.375,117.1171875,117.2265625,671636,3077750,FVH18,116.96875,117.03125,116.8984375,116.984375,5286,42992
11/06/2017,FVZ17,117.2734375,117.328125,117.1796875,117.2421875,493117,3100428,FVH18,117.0546875,117.1015625,117.03125,117.09375,2532,43956
11/07/2017,FVZ17,117.28125,117.3125,117.1796875,117.2890625,585760,3094822,FVH18,117.0703125,117.09375,117.0,117.0,22486,55748
11/08/2017,FVZ17,117.1953125,117.296875,117.140625,117.25,542316,3100976,FVH18,116.984375,117.0625,116.953125,117.0546875,11356,62627
11/09/2017,FVZ17,117.2109375,117.2578125,117.0859375,117.1484375,878139,3091638,FVH18,117.0,117.03125,116.875,116.9453125,8396,64059
11/10/2017,FVZ17,117.0,117.203125,116.984375,117.171875,753366,3124434,FVH18,116.7734375,116.984375,116.7578125,116.984375,19047,77557
11/13/2017,FVZ17,116.890625,117.0859375,116.8671875,116.9921875,551279,3124399,FVH18,116.65625,116.8515625,116.640625,116.7578125,16956,83726
11/14/2017,FVZ17,116.9375,116.9765625,116.796875,116.890625,794297,3125226,FVH18,116.71875,116.765625,116.5859375,116.6640625,50370,104728
11/15/2017,FVZ17,117.046875,117.1640625,116.953125,116.96875,942924,3143762,FVH18,116.84375,116.953125,116.7421875,116.7421875,75558,140957
11/16/2017,FVZ17,116.9296875,117.0703125,116.875,117.0703125,712316,3210630,FVH18,116.734375,116.8671875,116.671875,116.8671875,42483,167868
11/17/2017,FVZ17,116.9375,117.0234375,116.8984375,116.9140625,668011,3188291,FVH18,116.7421875,116.828125,116.703125,116.71875,49766,189072
11/20/2017,FVZ17,116.765625,117.046875,116.765625,116.9765625,1095654,3018855,FVH18,116.578125,116.859375,116.5703125,116.7734375,417959,449651
11/21/2017,FVZ17,116.6796875,116.8125,116.640625,116.7734375,1591688,2693379,FVH18,116.484375,116.625,116.453125,116.6015625,655459,814732
11/22/2017,FVZ17,116.984375,117.0,116.671875,116.703125,1390992,2468843,FVH18,116.7890625,116.796875,116.4609375,116.5,568406,1088974
11/24/2017,FVZ17,116.8984375,116.984375,116.859375,116.984375,727541,2338188,FVH18,116.6953125,116.78125,116.65625,116.78125,413444,1210498
11/27/2017,FVZ17,116.9921875,117.0,116.8125,116.8984375,2018521,1543350,FVH18,116.8046875,116.8125,116.6171875,116.6953125,1448989,1942974
11/28/2017,FVZ17,116.9140625,117.0625,116.8984375,116.984375,2095415,764994,FVH18,116.71875,116.8828125,116.7109375,116.796875,1815907,2624407
11/29/2017,FVZ17,116.8203125,116.984375,116.6875,116.953125,1205748,379914,FVH18,116.625,116.7890625,116.484375,116.765625,1207532,2921160
11/30/2017,FVZ17,116.578125,116.7890625,116.515625,116.7421875,290947,248766,FVH18,116.34375,116.578125,116.28125,116.53125,1400938,2987342
12/01/2017,FVZ17,116.6796875,116.9296875,116.4453125,116.59375,208141,155603,FVH18,116.4609375,116.7109375,116.203125,116.375,1856190,2985476
12/04/2017,FVZ17,116.53125,116.5859375,116.4453125,116.4765625,43404,135588,FVH18,116.296875,116.3671875,116.1640625,116.234375,748529,2980049
12/05/2017,FVZ17,116.5,116.578125,116.4140625,116.546875,89272,91102,FVH18,116.265625,116.3515625,116.1640625,116.3046875,902987,2980926
12/06/2017,FVZ17,116.671875,116.7578125,116.5234375,116.5390625,41450,72035,FVH18,116.4375,116.53125,116.2734375,116.296875,885148,2913201
12/07/2017,FVZ17,116.578125,116.71875,116.578125,116.640625,19202,64975,FVH18,116.34375,116.4921875,116.3359375,116.40625,726387,2903498
